transaction_id,transaction_date,description,merchant,category,transaction_type,amount,currency,payment_method,city
TX-0001,2026-01-01,Aylık maaş ödemesi,Örnek Yazılım AŞ,Maaş,income,31000.00,TRY,Havale,İstanbul
TX-0002,2026-01-02,Aylık konut kirası,Ev Sahibi,Kira,expense,8500.00,TRY,Havale,İstanbul
TX-0003,2026-01-03,Aylık bulut depolama,CloudBox,Abonelik,expense,4.99,USD,Kredi Kartı,
TX-0004,2026-01-05,Dijital film aboneliği,FilmBox,Abonelik,expense,229.99,TRY,Kredi Kartı,
TX-0005,2026-01-06,Müzik aboneliği,MusicPlus,Abonelik,expense,59.99,TRY,Kredi Kartı,
TX-0006,2026-01-08,Ev interneti,NetHız,Fatura,expense,449.90,TRY,Otomatik Ödeme,İstanbul
TX-0007,2026-01-10,Cep telefonu faturası,MobilTel,Fatura,expense,299.90,TRY,Otomatik Ödeme,İstanbul
TX-0008,2026-01-12,Elektrik faturası,Enerji Dağıtım,Fatura,expense,612.45,TRY,Otomatik Ödeme,İstanbul
TX-0009,2026-01-13,Su faturası,Şehir Su,Fatura,expense,188.20,TRY,Otomatik Ödeme,İstanbul
TX-0010,2026-01-14,Haftalık mutfak alışverişi,MarketSepeti,Market,expense,986.35,TRY,Kredi Kartı,İstanbul
TX-0011,2026-01-15,Toplu taşıma kartı yükleme,ŞehirKart,Ulaşım,expense,180.00,TRY,Banka Kartı,İstanbul
TX-0012,2026-01-16,Öğle yemeği,Kampüs Lokantası,Yemek,expense,245.50,TRY,Banka Kartı,İstanbul
TX-0013,2026-01-17,Kahve ve tatlı,Kafe Mavi,Yemek,expense,118.50,TRY,Banka Kartı,İstanbul
TX-0014,2026-01-21,"Market alışverişi, temizlik ürünleri",MarketSepeti,Market,expense,742.80,TRY,Kredi Kartı,İstanbul
TX-0015,2026-01-23,Toplu taşıma kartı yükleme,ŞehirKart,Ulaşım,expense,210.00,TRY,Banka Kartı,İstanbul
TX-0016,2026-01-25,Akşam yemeği,Ev Yemekleri,Yemek,expense,310.00,TRY,Kredi Kartı,İstanbul
TX-0017,2026-01-27,Eczane alışverişi,Merkez Eczanesi,Sağlık,expense,264.90,TRY,Banka Kartı,İstanbul
TX-0018,2026-02-01,Aylık maaş ödemesi,Örnek Yazılım AŞ,Maaş,income,31000.00,TRY,Havale,İstanbul
TX-0019,2026-02-02,Aylık konut kirası,Ev Sahibi,Kira,expense,8500.00,TRY,Havale,İstanbul
TX-0020,2026-02-03,Aylık bulut depolama,CloudBox,Abonelik,expense,4.99,USD,Kredi Kartı,
TX-0021,2026-02-05,Dijital film aboneliği,FilmBox,Abonelik,expense,229.99,TRY,Kredi Kartı,
TX-0022,2026-02-06,Müzik aboneliği,MusicPlus,Abonelik,expense,59.99,TRY,Kredi Kartı,
TX-0023,2026-02-08,Ev interneti,NetHız,Fatura,expense,449.90,TRY,Otomatik Ödeme,İstanbul
TX-0024,2026-02-10,Cep telefonu faturası,MobilTel,Fatura,expense,299.90,TRY,Otomatik Ödeme,İstanbul
TX-0025,2026-02-12,Elektrik faturası,Enerji Dağıtım,Fatura,expense,705.30,TRY,Otomatik Ödeme,İstanbul
TX-0026,2026-02-13,Su faturası,Şehir Su,Fatura,expense,194.75,TRY,Otomatik Ödeme,İstanbul
TX-0027,2026-02-14,Haftalık mutfak alışverişi,MarketSepeti,Market,expense,1044.20,TRY,Kredi Kartı,İstanbul
TX-0028,2026-02-15,Toplu taşıma kartı yükleme,ŞehirKart,Ulaşım,expense,190.00,TRY,Banka Kartı,İstanbul
TX-0029,2026-02-16,Öğle yemeği,Kampüs Lokantası,Yemek,expense,268.00,TRY,Banka Kartı,İstanbul
TX-0030,2026-02-17,Kahve ve tatlı,Kafe Mavi,Yemek,expense,126.00,TRY,Banka Kartı,İstanbul
TX-0031,2026-02-21,"Market alışverişi, temizlik ürünleri",MarketSepeti,Market,expense,812.65,TRY,Kredi Kartı,İstanbul
TX-0032,2026-02-23,Toplu taşıma kartı yükleme,ŞehirKart,Ulaşım,expense,225.00,TRY,Banka Kartı,İstanbul
TX-0033,2026-02-25,Akşam yemeği,Ev Yemekleri,Yemek,expense,325.40,TRY,Kredi Kartı,İstanbul
